Fase,Semana,Atividade,Responsavel,DuracaoDias,Observacoes
Realizacao,S12,Integração com MM: depósito e ponto de entrega de materiais,Consultor MM / PM,3,Garantir reserva de material via ordem PM
Realizacao,S12,Desenvolvimento de relatórios específicos (Z-PM),Desenvolvedor ABAP,5,Painéis e relatórios customizados aprovados no blueprint
Realizacao,S13,Revisão e validação dos dados carregados pelos Key Users,Key User Manutenção,5,Conferir consistência dos dados mestres
Realizacao,S14,Ajustes finais pós-revisão e reprocessamento de dados,Consultor / Key User,3,Corrigir inconsistências identificadas
Testes,S15,Preparação dos scripts de teste (UAT) por processo,Consultor SAP PM,3,Cobrir todos os cenários do blueprint
Testes,S15,Teste: Localização Funcional — criação e pesquisa,Key User,2,Cenário completo com filtros e reportes
Testes,S16,Teste: Equipamentos — criar instalar e desinstalar,Key User,2,Validar historial técnico
Testes,S16,Teste: Ordens de Manutenção — fluxo completo com confirmação,Key User,3,Abertura planejamento e encerramento
Testes,S16,Teste: Planos de Manutenção — agendamento e geração de OS,Key User,2,Verificar datas e ciclos gerados
Testes,S17,Teste Integrado com MM: reserva de material via ordem,Key User PM / MM,2,Validar disponibilidade e baixa de estoque
Testes,S17,Validação de relatórios e consultas gerenciais,Key User / Gestão,2,Incluir relatórios Z customizados
Testes,S17,Registro e resolução das não-conformidades,Consultor SAP PM,2,Priorizar críticos para go-live
Treinamento,S17,Elaboração do material de treinamento (manual do usuário),Consultor / Key User,5,Por perfil de usuário: planejador e executante
Treinamento,S18,Treinamento de Key Users — reforço e multiplicadores,Consultor SAP PM,2,Preparar KUs para replicar o conhecimento
Treinamento,S18,Treinamento usuários finais — Turma 1,Key User (multiplicador),2,Foco em operação diária: OS e PM
Treinamento,S19,Treinamento usuários finais — Turma 2,Key User (multiplicador),2,Reforçar pontos críticos da Turma 1
Treinamento,S19,Avaliação de aprendizagem e nivelamento,Consultor / RH,1,Identificar gaps antes do go-live
Treinamento,S19,Homologação dos usuários para o go-live,Gerente de Manutenção,1,Lista de usuários habilitados para produção
Go-Live,S20,Validação da Go-Live Readiness Checklist,PMO / Consultor,2,Dados carregados treinamento concluído suporte escalado
Go-Live,S20,Cutover: carga de dados produtivos (FLs e Equipamentos),Consultor / Key User,2,Executar no ambiente produtivo (PRD)
Go-Live,S20,Cutover: migração de ordens em aberto (se aplicável),Consultor / Key User,1,Ordens abertas no sistema legado ou manual
Go-Live,S21,Go-Live — início das operações no SAP PM em produção,Todos,1,Data de corte definida no cronograma
Go-Live,S21,Hypercare: suporte intensivo pós go-live (1ª semana),Consultor SAP PM,5,Presença on-site ou remota do consultor
Go-Live,S22,Hypercare: suporte pós go-live (2ª semana),Consultor SAP PM,5,Disponibilidade para dúvidas e correções
Go-Live,S22,Avaliação dos KPIs iniciais de performance do módulo,PMO / Gerência,2,OEE / MTTR / MTBF e ordens concluídas no prazo
Go-Live,S22,Encerramento formal do projeto e lições aprendidas,PMO,1,Relatório final e aceite do cliente
